STT,Job_Name,Company_Name,Address,Salary,Nature_Work,Level,Describe,Requirement,Benefits,Deadline,Type_Job
1002,Nhân Viên Kinh Doanh B2B,Công ty cổ phần tập đoàn Tino,Hồ Chí Minh,"[6000, 15000]",Toàn thời gian,,"['- Tìm kiếm khách hàng tiềm năng về mảng chuyển đổi số doanh nghiệp', '- Giới thiệu, tư vấn sản phẩm và các giải pháp của công ty đến khách hàng tiềm năng', '- Đàm phán, ký kết hợp đồng với khách hàng và chăm sóc, phát triển mối quan hệ bền vững với khách hàng.\n', '- Hỗ trợ và chăm sóc khách hàng trước và sau bán hàng để khách hàng ứng dụng sản phẩm mang lại hiệu quả và giá trị cao cho khách hàng.', '\n', '\n', '\n']","['- Có khả năng thuyết trình trước khách hàng.', '- Có khả năng giao tiếp và kỹ năng thuyết phục.\n', '- Khả năng đàm phán các điều khoản hợp đồng.\n', '- Có kinh nghiệm trong lĩnh vực Tư vấn Giải pháp Doanh nghiệp.', '- Có kinh nghiệm trong ngành Giải pháp CNTT (Hệ thống thương mại điện tử, CRM, ERP, Giải pháp đám mây, ...)\n', '- Kiến thức về các phần mềm CRM (Bitrix24, Base, Odoo, 1Office...)', '\n', '\n', '\n', '\n', '\n', '\n', '\n']","['- Được đào tạo về kỹ năng Bán hàng.', '- Đào tạo kiến thức kỹ thuật các công nghệ Hosting, Giải pháp chuyển đổ số doanh nghiệp ...', '- Lương KPI doanh số: 8tr-20tr (thảo luận thêm sau khi nhận việc)', '- Môi trường công ty trẻ, sáng tạo, sẵn sàng chia sẻ.', '- Các chính sách phúc lợi khác:', '- Làm việc với các khách hàng B2B, với các cấp quản lí và chủ doanh nghiệp.', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n']",23/05/2021,[]
1003,Senior Mobile Developer (Lương 20-25 Triệu),Công Ty TNHH truyền thông công nghệ Netlink Việt Nam,Hà Nội,"[6000, 15000]",Toàn thời gian,,"['MÔ TẢ CÔNG VIỆC\n', '- Phát triển khách hàng chuyên về mảng App\n', '- Hỗ trợ triển khai quảng cáo trên các mobile app (Android/iOS)\n', '- Fix lỗi, tối ưu các quy trình triển khai quảng cáo cho Mobile App\n', '- Tham gia vào quá trình phát triển sản phẩm, ứng dụng các công nghệ mới\n', '- Hỗ trợ khách hàng & internal team phát triển sản phẩm mảng mobile app.\n']","['YÊU CẦU\n', '- Kinh nghiệm làm việc với lập trình Mobile trên nền tảng Android và IOS\n', '- Có sản phẩm được phát hành trên Google Play hoặc App Store là lợi thế\n', '- Hiểu biết sâu sắc về các công nghệ, công nghệ API JSON/ RESTFUL API\n', '- Có hiểu biết cơ bản về Adtech, các mạng quảng cáo Google Ads (Google Admanager, Admob, Facebook Audience Network)\n', '- Kỹ năng phân tích và thái độ giải quyết vấn đề tốt\n', '- Khả năng làm việc cá nhân + Teamwork tốt\n', '- Tiếng Anh tốt\n', '- Có hiểu biết với các thư viện và API của bên thứ ba\n', '- Chủ động nghiên cứu và áp dụng các kỹ thuật, công nghệ mới để tối ưu sản phẩm\n', '- Chủ động thu thập, phân tích các thông tin để duy trì và cải tiến sản phẩm\n']","['- Thu nhập từ 20.000.000 đến 25.000.000VNĐ hoặc deal theo năng lực khi phỏng vấn.\n', '- Làm việc 8h/1 ngày, từ thứ 2 – thứ 6 hàng tuần\n', '- Được đóng BHYT, BHXH theo quy định Nhà nước\n', '- Thưởng tháng 13, lễ tết, sinh nhật, du lịch hè,…\n', '- Có cơ hội tiếp cận làm việc với các Báo điện từ và các Nhà xuất bản hàng đầu.\n', '- Cùng các chuyên gia từ Google tổ chức các Hội thảo, Hội nghị trong lĩnh vực liên quan tại Việt Nam.\n', '- Tham gia các khóa đào tạo chuyên sâu về Marketing, Seo, Social từ Google và Netlink.\n', '- Làm việc trong môi trường năng động, sáng tạo cùng các đồng nghiệp dày dặn kinh nghiệm trong lĩnh vực này.\n']",23/05/2021,[]
1004,"Front-End Developer (Reactjs, Html5, Css)",Tigren Solutions,Hà Nội,"[14000, 20000]",Toàn thời gian,,[],[],[],31/05/2021,[]
1005,Chuyên Viên Marketing,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KINH DOANH NHÀ THỜI ĐẠI,Hồ Chí Minh,"[10000, 30000]",Toàn thời gian,,[],"['-\tTừ 23-30 tuổi;\n', '-\tCó kinh nghiệm ít nhất 2 năm trong lĩnh vực Digital Marketing, Social Media;\n', '-\tBiết sử dụng thành thạo công cụ đăng bài trên web;\n', '-\tHọc hỏi nhanh, thường xuyên cập nhật các kiến thức mới đáp ứng công việc.\n']","['-\tLương cơ bản: Thỏa thuận từ 8 - 12 triệu + hoa hồng;\n', '-\tMôi trường làm việc trẻ trung, hiện đại, năng động và chuyên nghiệp, cung cấp các phương tiện, công cụ bán hàng tốt nhất;\n', '-\tCó chế độ đào tạo thường xuyên và hỗ trợ nhân viên tốt nhất;\n', '-\tCó nguồn sản phẩm dồi dào do Công ty độc quyền phân phối;\n', '-Cơ hội thăng tiến ở nhiều vị trí quản lý trong Công ty;\n']",31/05/2021,[]
1006,"Web Developer (.Net, Mvc, Sql)",Công Ty TNHH Dịch Vụ Trực Tuyến Hoàng Linh,Hồ Chí Minh,"[10000, 30000]",Toàn thời gian,,"['Phân tích và phát triển các yêu cầu, sử dụng công nghệ .NET, MSSQL.\n', 'Nghiên cứu và sử dụng các công nghệ mới để giải quyết các vấn đề.\n', 'Tham gia thiết kế và vận hành hệ thống web.']","['Kinh nghiệm từ 1 năm trở lên\n', 'Có kinh nghiệm khả năng sử dụng .NET MVC, Entity Framework, MSSQL\n', 'Có kinh nghiệm về front-end (CSS, HTML, JavaScript). Biết sử dụng các thư viện của JavaScript (jQuery, AngularJS...), Bootstrap là một lợi thế.\n', 'Có kinh nghiệm sử dụng SQL. Biết sử dụng NoSQL là một lợi thế.\n', 'Làm việc độc lập hoặc theo nhóm, có trách nhiệm cao.']","['Thu nhập thỏa thuận, xứng đáng với năng lực làm việc;\n', 'Được đào tạo về game.\n', 'Môi trường làm việc năng động, cơ hội thăng tiến cao;\n', 'Làm việc từ 9h-17h30 từ thứ 2 đến thứ 6\n', 'Các chế độ bảo hiểm đầy đủ theo quy định pháp luật;\n', 'Tháng lương thứ 13;\n', 'Thưởng cuối năm theo kết quả kinh doanh;\n', 'Thưởng Tháng, thưởng Quý, thưởng Năm cao;\n', 'Du lịch hàng năm.\n', 'Các phúc lợi khác theo quy định Công ty.']",30/06/2021,"['.NET', 'Game', 'MVC', 'SQL']"
1007,Digital Marketing (Quận 6),CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KINH DOANH NHÀ THỜI ĐẠI,Hồ Chí Minh,"[14000, 30000]",Toàn thời gian,,"['-\tHoạch định kế hoạch, phân tích và thực hiện hoạt động Digital Marketing, Social Media;\n', '-\tPhụ trách phát triển các chương trình PR, quảng cáo trên trên các phương tiện truyền thông online để quảng bá thương hiệu và các sản phẩm của Công ty;', '-\tLập kế hoạch SEO, SEM, Google Adwords tối ưu hóa thứ hạng của website trên các trang tìm kiếm;\n', '-\tĐịnh vị và phát triển thương hiệu và sản phẩm trên các website, forum, facebook, wordpress... và các mạng xã hội khác,…;\n', '-\tTriển khai quảng bá qua Email Marketing và Mobile Marketing;\n', '-\tViết tin, bài quảng bá và chịu trách nhiệm quản lý nội dung website của Công ty;\n', '-\tThu thập, phân tích thông tin thị trường, thông tin về sản phẩm, thông tin về các chương trình Digital Marketing, Social Media của đối thủ cạnh tranh;\n', '-\tĐề xuất và thực hiện các chương trình khuyến mại, truyền thông, quảng bá và xây dựng thương hiệu cho công; ty và các sản phẩm của công ty;', '-\tChủ động đưa ra ý tưởng cải tiến dịch vụ cho phù hợp hơn với thị trường.\n']","['-\tTừ 26-28 tuổi;\n', '-\tCó kinh nghiệm ít nhất 2 năm trong lĩnh vực Digital Marketing, Social Media;\n', '-\tBiết sử dụng thành thạo công cụ đăng bài trên web;\n', '-\tHọc hỏi nhanh, thường xuyên cập nhật các kiến thức mới đáp ứng công việc.\n']","['-\tMôi trường làm việc trẻ trung, hiện đại, năng động và chuyên nghiệp, cung cấp các phương tiện, công cụ bán hàng tốt nhất;\n', '-\tCó chế độ đào tạo thường xuyên và hỗ trợ nhân viên tốt nhất;\n', '-\tCó nguồn sản phẩm dồi dào do Công ty độc quyền phân phối;\n', '-\tCơ hội thăng tiến ở nhiều vị trí quản lý trong Công ty;\n', '- Được hưởng đầy đủ các chế độ như BHXH, BHYT, BHTN....\n']",31/05/2021,[]
1008,Net Developer,Công ty CP Cyberlotus,Hà Nội,"[10000, 25000]",Toàn thời gian,,"['- Phát triển, xây dựng các sản phẩm phần mềm của Công ty: giao dịch điện tử, dịch vụ công trực tuyến, phần mềm bảo mật, chữ ký số, xác thực điện tử,…\n', '- Tham gia các dự án phát triển và tích hợp phần mềm khác theo yêu cầu.\n', '- Chi tiết công việc sẽ được trao đổi khi phỏng vấn.\n']","['- Tốt nghiệp Đại học, Cao đẳng chuyên ngành Công nghệ thông tin hoặc các chuyên ngành liên quan (Toán tin, Điện tử Viễn thông,…)\n', '- Có trên 1 năm kinh nghiệm ở vị trí tương đương.\n', '- Có kiến thức về HTML, CSS, Javascript, jQuery, AJAX,…\n', '- Thành thạo một trong các nền tảng lập trình .NET sau: C#, ASP.Net MVC, .NetCore, Web API, LINQ, WinForms, Entity Framework,…\n', '- Sử dụng các loại DB: Postgresql, MariaDB, MS SQL Server hoặc MySql.\n']","['- Lương cứng:10-20M + Thưởng dự án + Trợ cấp ăn trưa', '- Môi trường làm việc trẻ trung, hiện đại và năng động.', '- Hưởng các chế độ bảo hiểm xã hội, y tế theo quy định.\n', '- Chế độ khám sức khỏe, nghỉ mát, teambuilding, …\n', '- Các hoạt động thể thao, văn hóa đa dạng và phong phú (đá bóng, cầu lông, …)\n']",29/05/2021,[]
1009,Net Developer,Công ty TNHH Hỗ trợ doanh nghiệp,Hà Nội,"[18000, 25000]",Toàn thời gian,,"['- Phát triển, xây dựng các sản phẩm phần mềm của Công ty: giao dịch điện tử, dịch vụ công trực tuyến, phần mềm bảo mật, chữ ký số, xác thực điện tử,…\n', '- Tham gia các dự án phát triển và tích hợp phần mềm khác theo yêu cầu', '- Chi tiết công việc sẽ được trao đổi khi phỏng vấn.\n']","['- Tốt nghiệp Đại học, Cao đẳng chuyên ngành Công nghệ thông tin hoặc các chuyên ngành liên quan (Toán tin, Điện tử Viễn thông,…)\n', '- Có trên 1 năm kinh nghiệm ở vị trí tương đương.\n', '- Có kiến thức về HTML, CSS, Javascript, jQuery, AJAX,…\n', '- Thành thạo một trong các nền tảng lập trình .NET sau: C#, ASP.Net MVC, .NetCore, Web API, LINQ, WinForms, Entity Framework,…\n', '- Sử dụng các loại DB: Postgresql, MariaDB, MS SQL Server hoặc MySql.\n']","['- Lương cứng:10-20M + Thưởng dự án + Trợ cấp ăn trưa', '- Môi trường làm việc trẻ trung, hiện đại và năng động', '- Hưởng các chế độ bảo hiểm xã hội, y tế theo quy định', '- Chế độ khám sức khỏe, nghỉ mát, teambuilding, …\n', '- Các hoạt động thể thao, văn hóa đa dạng và phong phú (đá bóng, cầu lông, …).']",29/05/2021,[]
1010,Nhân Viên Tester,CÔNG TY TNHH TIN HỌC & DỊCH VỤ NAM LONG,Hồ Chí Minh,"[6000, 20000]",Toàn thời gian,,[],[],[],29/05/2021,['Tester']
1011,Tester Game,Công ty Cổ phần tập đoàn Công nghệ Thăng Long,Hà Nội,"[16000, 25000]",Toàn thời gian,,"['- Lên test case, test lỗi, logic game trước khi đưa publish\n', '- Test hiệu năng, feeling game, UI-UX trên các kích thước màn hình khác nhau\n', '- Theo dõi, quyết định có phiên bản đưa lên Store hay không\n', '- Trao đổi làm việc thành viên trong team\n', '- Theo sản phẩm khi đưa lên, report công việc theo yêu cầu\n', '- Thu thập ý kiến phản hồi của users, review kiểm tra sản phẩm thường xuyên']","['- Có kinh nghiệm test game\n', '- Chăm chỉ, kiên trì, cẩn thận và đặc biệt đam mê về game\n', '- Biết sử dụng các công cụ như: Google sheet, Jira, trello\n', '- Đọc hiểu tài liệu, kịch bản game và đã chơi nhiều thể loại game\xa0']","['- Làm việc từ T2 – sáng T7, 8h15 – 17h45, sáng thứ 7 làm việc linh hoạt\n', '- Môi trường làm việc năng động, trẻ trung, tạo điều kiện tốt nhất cho phát triển cá nhân\n', '- Thưởng các dịp Lễ, Tết\n', '- Được hưởng đầy đủ BHXH và nghỉ lễ như quy định của nhà nước.\n', '- Hỗ trợ ăn trưa tại VP, gửi xe\n', '- Tham gia các hoạt động nôi bộ cùng công ty: Team building, du lịch, các hoạt động ngoại khóa (đá bóng…)\n', '- Các chế độ lương thưởng luôn tăng không hạn chế khi bạn có sự đóng góp xứng đáng.', '\n', '\n', '\n', '\n', '\n', '\n']",29/05/2021,[]
1012,Data Engineer,Công ty TNHH WAV,Hồ Chí Minh,"[10000, 30000]",Toàn thời gian,,"['- Improve our data calculating system (mostly aggregations from Postgres databases) to make it much', 'much faster.\n', '- Implement data pipelines to support large streams of data\n', '- Create ETL processes to load raw data from low cost sources and convert to appropriate structure then\n', 'save in high speed data warehouse for calculating\n', '- Design data warehouse to support big queries (mostly aggregating)\n', '- Build a system that flexibly load/calculate selectively between low cost and high speed sources based\n', 'on the frequencies of query usages\n', '- Build a system that smartly cache the results in-memory and disk-storage based on the frequencies of\n', 'query usages.']","['- Experience: We are looking for candidates with all levels of experience', '- Knowledge in database optimization, queries, indices, replication, distribution (especially with\n', 'Postgres, Redshift)\n', '- Strong skills in distributed computing, multi-thread computing, high optimization code in at least one\n', 'of the following languages: Golang, Scala, Python, dotNET\n', '- Experienced with data warehousing architecture and data modeling\n', '- Experienced with big data platforms (e.g. Hadoop, Spark, Hive, Presto...) is a big plus\n', '- Experienced with cloud data platforms (e.g. Redshift on AWS, BigQuery on GCP, ...) is a big plus.']","['- Attractive salary and bonus (from 20mil VND)', '- Working time: 5 days/ week, from Monday to Friday;', '- Professional working environment;', '- Social & health insurance and annual leaves according to Law;', '- A paid birthday off day;', '- After 6 months working, an extra bonus scheme based on quarter performance & KPI’s;', '- Thirteen Salary (according to the time worked).- Join a big project that serve many big customers worldwide\n', '- Can choose role among various positions in the big analytics system\n', '- Have opportunities to solve challenging problems, in sequence, self-improve knowledge and skills\n', '- To be trained and will use state-of-the-art technologies like cloud platform, bigdata, micro-services,…\n', '- Work with a very helpful team that contains smart and friendly members\n', '- Can contribute ideas for developing technologies or to make the work environment even more\n', 'comfortable.']",28/05/2021,"['MongoDB', 'NoSQL', 'Python', 'AWS', 'Scala', 'Golang', 'Apache Spark ']"
1013,Tester (QA / QC),Crossian,Hà Nội,"[8000, 10000]",Toàn thời gian,,"[""As a member of Crossian Technology Department, you would catchup with team on project you're doing daily, gathering updates from other products to stay tune with the whole eco-system.\n"", ""We're also developing an eco-system around international e-commerce which include products for Storefront, Payment Gateway, Inventory, Catalogs, Logistics, Marketing Insights, CRM ... And we could name a few:\n"", 'Build a SaaS storefront solution.\n', 'Centralize payment gateways for managing transactions and issues.\n', 'Integrate multiple 3rd services for running a full supply-chain services including inventory, catalogs, logistics monitoring etc.\n', 'Transform raw data from marketing campaigns. transactions, users behaviors etc to insights which are helpful and valuable for businesses operation.\n', 'And many more are waiting for your contributions.\n', 'Along with development work, you also need to collaborate closely with business operators to understand their problems in their particular divisions. Therefore, with technical perspective, you would suggest them with solution for helping them better and better everyday.\n', '\n', '\n', '\n']","['At least 3 years of experience as a Software Tester (Automation/Manual)\n', 'Critical thinking ability and good problem-solving capacity.\n', 'Proficient in understanding written requirements\n', 'Competent in software testing theory, knowledge, skills, tools, and techniques.\n', 'Ability to work effectively in a fast-paced, dynamic environment, and prioritize workload and deliverables within schedule constraints to deliver results.\n', 'Having hands-on experience with Agile/scrum project.\n', 'Familiar with Atlassian toolset (Jira, Confluence)']","['Highly competitive remuneration package: attractive monthly salary and allowances, 13th-month salary and additional performance bonus.\n', 'Social welfare regimes such as: health insurance, social insurance, unemployment insurance under the provisions of the Labor Law.\n', ""Generali's health insurance\n"", 'Annual holiday, Tet, team building and travel bonuse']",23/05/2021,"['Tester', 'test cases']"
1014,Chuyên Viên Digital Marketing - Mảng Kinh Doanh Công Nghệ 4.0,Tập đoàn Sunshine - Sunshine Group,Hà Nội,"[8000, 30000]",Toàn thời gian,,"['\xa0Lập kế hoạch Digital Marketing theo kế hoạch, chiến lược MKT được phê duyệt (phối hợp với bộ phận Quản lý MKT dự án) theo yêu cầu của GĐ MKT\n', '- Phối hợp Phòng Kinh doanh trực tiếp để quản lý và thực hiện các chiến dịch digital marketing mảng Kinh doanh công nghệ 4.0', '- Báo cáo và kiểm soát các hoạt động digital marketing\n', '- Quản lý hệ thống website và quản lý dữ liệu khách hàng\n', '- Quản lý chung hoạt động Digital MKT các dự án, phụ trách báo cáo tiến độ công việc, kiểm soát chất lượng hoạt động Digital MKT', '\n', '\n', '\n', '\n']","['- Tốt nghiệp CĐ, ĐH trở lên chuyên ngành Kinh tế, thương mại điện tử , công nghệ\xa0 hoặc các chuyên ngành liên quan\n', '- Có ít nhất 01 năm kinh nghiệm Digital Marketing trong lĩnh vực công nghệ, thương mại điện tử hoặc tương đương', '- Nhanh nhẹn, chủ động, tinh thần trách nhiệm cao\n', '- Có kiến thức bài bản về marketing\n', '- Có tư duy chiến lược, Tư duy phân tích tốt\n', '- Có kỹ năng tổ chức và quản lý thời gian tốt', '\n', '\n', '\n', '\n', '\n']","['- Mức thu nhập hấp dẫn ( Lương cứng 12 – 18 triệu + %thưởng doanh số + KPI) hoặc ứng viên có thể trực tiếp đàm phán theo năng lực\n', '- Môi trường làm việc trẻ trung, thân thiện, chuyên nghiệp, năng động & Làm việc với nhiều công nghệ tiên tiến\n', '- Các hoạt động công ty như: teambuilding, annual trips, barbecues, karaoke and more\n', '- Đầy đủ các quyền lợi theo luật lao động\n', '- Được hưởng lương tháng 13 cũng như được tham gia đóng BHXH, BHYT\n', '- Được hưởng ưu đãi khi mua nhà của tập đoàn\n', '- Được hưởng các chính sách của Tập đoàn lớn như ưu đãi các dịch vụ do tập đoàn cung cấp: mua nhà, mua sắm S’Mart, S’Cafe, học tập S’School, nghỉ dưỡng, chăm sóc sức khỏe, đi lại-\n', '- Lộ trình đào tạo và phát triển nghề nghiệp rõ ràng', '\n', '\n', '\n', '\n', '\n', '\n', '\n']",23/05/2021,[]
1015,Frontend Developer,Tập đoàn Sunshine - Sunshine Group,Hà Nội,"[8000, 10000]",Toàn thời gian,,"['- Chuyển từ giao diện thiết kế sang mã nguồn\n', '- Tạo giao diện trang web bằng các công nghệ mới hiện nay như Vuejs, Angular, React...\n', '- Thiết kế giao diện có khả năng hiển thị tốt trên nhiều thiết bị (RWD)\n', '- Tạo các thư viện, components có khả năng tái sử dụng\n', '- Viết các automation test case và deloy script', '\n', '\n', '\n', '\n']","['- Có ít nhất 01 năm kinh nghiệm\n', '- Có kiến thức về HTML5, CSS, SASS/ SCSS\n', '- Có kinh nghiệm làm việc với Responsive CSS\n', '- Có kinh nghiệm làm việc với Web Framework là một lợi thế\n', '- Hiểu biết về webpack như code splitting, handling, asset, ssr...\n', '- Quen thuộc với kiến trúc web micro-service\n', '- Có kinh nghiệm trong việc thiết kế và triển khai các giải pháp RESTful API\n', '- Hiểu về HTTP2, SSE (Server - Sent Events) là một điểm cộng\n', '- Quen thuộc với môi trường Linux\n', '- Có kinh nghiệm với các hệ thống phân tán có lưu lượng truy cập cao và client-server architectures\n', '- Có kinh nghiệm với các dịch vụ Cloud của Google như Firebase, Cloud VM\xa0', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n']",[],19/05/2021,"['CSS', 'HTML5', 'SASS']"
1016,Ruby Dev Internship,CÔNG TY TNHH VAREAL VIỆT NAM,Hà Nội,"[14000, 25000]",Toàn thời gian,,"['●\tTham gia phát triển các dự án website, phần mềm nội bộ của công ty.\n', '●\tXây dựng các dự án với yêu cầu của trainer.\n', '●\tNghiên cứu tìm tòi các công nghệ mới hỗ trợ cho công việc theo sự hướng dẫn của trainer\n', '●\tTham gia triển khai dự án outsourcing với ngôn ngữ Ruby và framework Ruby on Rails.', '\n']","['●\tĐã tốt nghiệp hoặc sắp tốt nghiệp Đại học hoặc Cao đẳng chuyên ngành Công nghệ thông tin hoặc Điện tử viễn thông\n', '●\tCó kinh nghiệm làm việc với framework: Ruby on Rails, Laravel, ReactJs, VueJs là một lợi thế\n', '●\tDatabase Management System: Microsoft SQL Server, Oracle, PostgreSQL hoặc MySQL\n', '●\tCó khả năng phân tích, tư duy logic\n', '●\tCó khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành công nghệ thông tin\n', '●\tCó khả năng làm việc nhóm\n', '●\tCó ý thức trách nhiệm trong công việc\n']","['●\tPhụ cấp thực tập\n', '●\tĐược đào tạo bài bản, chuyên nghiệp, lý thuyết đi liền với thực hành\n', '●\tĐược học hỏi, lĩnh hội những kiến thức chuyên sâu và trải nghiệm trong môi trường làm việc thực tế\n', '●\tĐược lắng nghe, tôn trọng ý kiến, quan điểm cá nhân để trao đổi thẳng thắn, chia sẻ cùng phát triển\n', '●\tỨng viên sẽ có cơ hội trở thành nhân viên chính thức với quyền lợi đãi ngộ tương xứng với năng lực và kết quả hoàn thành công việc\n']",20/05/2021,[]
1017,Nhân Viên Kinh Doanh Ca Đêm,Công ty TNHH Ký Ức Miền Tây,Hồ Chí Minh,"[14000, 20000]",Toàn thời gian,,"['- Được cung cấp hot data', '- Điện thoại đến các khách hàng giới thiệu và chốt bán dịch vụ\n', '- Quản lý khách hàng cũ để gia tăng doanh thu và dịch vụ\n', '- Chăm sóc khách hàng trong và sau khi sử dụng dịch vụ, hỗ trợ khách hàng các thông tin về dịch vụ.\n', '- Làm việc từ thứ 2 – thứ 5 (21h30 – 7h30)\n', '- Địa chỉ làm việc: Nguyễn Oanh, Gò Vấp']","['- Giao tiếp tốt, có giọng nói truyền cảm, có mong muốn kiếm tiền cải thiện cuộc sống', '- Kiên trì, bền bỉ đeo bám mục tiêu, sức khỏe tốt, có khả năng tập trung cao\n', '- Yêu cầu có máy tính cá nhân', '\n', '\n', '\n']","['- Lương cứng 8.5 triệu/tháng + Hoa hồng + thưởng hấp dẫn.', '- Được đào tạo theo đúng quy trình nghiệp vụ chuẩn mực về telesales một cách bài bản và chuyên nghiệp\n', '- Được cung cấp Data ổn định và làm sạch tối đa.\n', '- Được cung cấp điện thoại để làm việc\n', '- Tham gia đầy đủ BHXH, BHYT, BHTN theo quy định của pháp luật; nhiều chế độ phúc lợi cho nhân viên như liên hoan, du lịch, sinh nhật, hỗ trợ tài chính khi có nhu cầu,... các ngày nghỉ phép và lễ/Tết theo luật lao động, nghỉ bệnh/ốm đau...', '\n', '\n', '\n', '\n', '\n']",06/05/2021,[]
1018,Kỹ Sư Phần Mềm,công ty TNHH Máy Thép Việt,Hồ Chí Minh,"[8000, 30000]",Toàn thời gian,,"['-\tTham gia nghiên cứu, thiết kế, lập trình ứng dụng/phần mềm theo dự án.\n', '-\tViết các tài liệu theo quy trình phát triển phần mềm – Kiểm tra, đánh giá chất lượng ứng dụng/phần mềm sau khi lập trình xong.\n', '-\tBảo trì, hỗ trợ giải quyết những vấn đề liên quan đến kỹ thuật trong phát triển ứng dụng phần mềm.\n', '-\tPhát triển, cải tiến quy trình, tính năng của ứng dụng/phần mềm tốt hơn.\n', '-\tThực hiện các công việc khác theo sự phân công của Quản lý trực tiếp\n', '\n', '\n']","['- Giới tính: Nam, từ 22-35t\n', '- Trình độ: Đại Học, chuyên ngành Công nghệ thông tin, khoa học máy tính\n', '- Kinh nghiệm: Tối thiệu 1 năm kinh nghiệm về lập trình, am hiểu ngôn ngữ lập trình, Khả năng tiếp cận, nắm bắt nhanh các công nghệ lập trình mới.\n', '- Hình thức làm việc: Thời gian cố định.\n', '- Nhanh nhẹn chăm chỉ, tinh thần trách nhiệm cao.\n']","['-\xa0 Môi trường làm việc thân thiện, nhiều cơ hội phát triển.\n', '- Được tham gia đầy đủ Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp.\n', '- Được tham gia BH sức khỏe 24h.\n', '- Được hưởng lương, trợ cấp, thưởng theo quy định pháp luật và quy chế tài chính của công ty.\n']",30/05/2021,[]
1019,Lập Trình Viên Back-End,Công ty Cổ Phần Công Nghệ Nam Long,Hồ Chí Minh,"[10000, 30000]",Toàn thời gian,,"['- Tham gia nhóm Dev để xây dựng, triển khai Backend Services cho Hệ thống công ty bằng .NET Core', '- Tham gia trực tiếp vào phân tích, thiết kế, triển khai']","['- Từ 1 - 2 năm kinh nghiệm với ngôn ngữ .Net/.Net Core Framework\n', '- Có kinh nghiệm về: OOP, Web service (RESTful, SOAP), JWT\n', '- Có kinh nghiệm làm việc với CSDL: SQL, MySQL\n', '- Có kinh nghiệm làm việc với Swagger\n', 'Ưu tiên:\n', '- Hiểu các kiến trúc phần mềm: MVC, Microservices\n']","['- Các chính sách lương thưởng tốt, BHXH, BHYT', '- Được đào tạo thường xuyên\n', '- Môi trường làm việc trẻ trung, năng động, thoải mái\n', '- Nghỉ mát hàng năm', '\n', '\n', '\n']",17/05/2021,[]
1020,Lập Trình Viên Mobile,Công ty Cổ Phần Công Nghệ Nam Long,Hồ Chí Minh,"[12000, 30000]",Toàn thời gian,,['\n'],[],[],06/05/2021,[]
1021,Front-End Developer,Công ty Cổ Phần Công Nghệ Nam Long,Hồ Chí Minh,"[14000, 25000]",Toàn thời gian,,"['- Tham gia phát triển các ứng dụng Frontend trên nền tảng VueJs, NodeJs,..\n', '- Phát triển các tính năng mới cho website theo yêu cầu người dùng.\n', '- Làm việc, phối hợp công việc theo nhóm dưới sự phân công công việc của quản lý dự án\n', '- Báo cáo tiến độ công việc theo quy trình làm việc công ty.', '\n', '\n', '\n']","['- Có kinh nghiệm làm việc với VueJs, NodeJs.. từ 6 tháng trở lên\n', '- Có kinh nghiệm làm việc với các framework phổ biến như Bootstrap, ES6\n', '- Có kiến thức về HTML, CSS/CSS3, JavaScript/jQuery, SASS, Web Responsive\n', '- Có kinh nghiêm làm việc với Resfull API, Web service', '\n', '\n', '\n']","['- Lương và chế độ phúc lợi tốt', '- Đào tạo hàng tuần', '- Môi trường trẻ trung, linh hoạt']",22/05/2021,[]
